stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
100251,Dunsmuir Rd at Esquimalt Rd,48.43167,-123.39477,0,100251
100252,Dunsmuir Rd at Garrett Pl,48.4303,-123.39619,0,100252
100253,Fernwood Rd at Pembroke St,48.43154,-123.34505,0,100253
100254,Gorge Rd E at Garbally Rd,48.44032,-123.37273,0,100254
100256,Gorge Rd E at Garbally Rd,48.44033,-123.37229,0,100256
100257,Quadra St at Hillside Ave,48.43911,-123.35921,0,100257
100258,Begbie St at Elford St,48.4276,-123.34124,0,100258
100259,Dunsmuir Rd at Garrett Pl,48.4302,-123.39678,0,100259
100260,Cook St at Haultain St,48.43672,-123.35202,0,100260
100261,Hillside Ave at Quadra St,48.43946,-123.35976,0,100261
100262,Pandora Ave at Elford St,48.42657,-123.34085,0,100262
100263,Old Esquimalt Rd at Viewfield Rd,48.43288,-123.39449,0,100263
100264,Fernwood Rd at Pembroke St,48.43221,-123.34519,0,100264
100265,Begbie St at Elford St,48.42755,-123.34091,0,100265
100266,Hillside Ave at Quadra St,48.43948,-123.35818,0,100266
100267,Head St at Paradise St,48.42805,-123.39907,0,100267
100268,Head St at Paradise St,48.4279,-123.39929,0,100268
100269,Fairfield Rd at Arnold Ave,48.41207,-123.34105,0,100269
100270,Gore St at Lyall St,48.42649,-123.40021,0,100270
100271,Quadra St at Hillside Ave,48.44006,-123.35926,0,100271
100272,Old Esquimalt Rd at Viewfield Rd,48.43302,-123.39497,0,100272
100273,Craigflower Rd at Pine St,48.43695,-123.38859,0,100273
100274,Gore St at Lyall St,48.42648,-123.40052,0,100274
100275,Dunsmuir Rd at Head St,48.42932,-123.39874,0,100275
100276,800 Blk Esquimalt Rd,48.43185,-123.39704,0,100276
100277,Dunsmuir Rd at Head St,48.42929,-123.39921,0,100277
100278,Hillside Ave at Graham St,48.4398,-123.35683,0,100278
100279,Fairfield Rd at Stannard Ave,48.41225,-123.33969,0,100279
100280,Hillside Ave at Graham St,48.43978,-123.35603,0,100280
100281,Craigflower Rd at Pine St,48.43742,-123.38883,0,100281
100283,800 Blk Esquimalt Rd,48.43153,-123.39794,0,100283
100284,Richardson St at St Charles St,48.41624,-123.33807,0,100284
100285,Fernwood Rd at Bay St,48.43426,-123.34511,0,100285
100288,Gorge Rd E at Jutland Rd,48.44153,-123.37586,0,100288
100290,Burnside Rd E at Dunedin St,48.44204,-123.36957,0,100290
100291,Douglas St at Burnside Rd E,48.44226,-123.36932,0,100291
100292,Burnside Rd E at Douglas St,48.44219,-123.36956,0,100292
100293,Richardson St at St Charles St,48.41617,-123.3371,0,100293
100294,Fort St at Pandora Ave,48.42627,-123.3378,0,100294
100295,Douglas St at Summit Ave,48.44259,-123.36911,0,100295
100296,Pandora Ave at Fort St,48.42648,-123.33782,0,100296
100297,Gorge Rd E at Jutland Rd,48.44238,-123.37763,0,100297
100298,Hillside Ave at Blackwood St,48.44013,-123.35434,0,100298
100299,Esquimalt Rd at Head St,48.43063,-123.40032,0,100299
100300,Jutland Rd at Gorge Rd E,48.44263,-123.37566,0,100300
100301,Hillside Ave at Blackwood St,48.4401,-123.35348,0,100301
100303,Fairfield Rd at St Charles St,48.41228,-123.33767,0,100303
100304,Quadra St at Topaz Ave,48.44207,-123.36004,0,100304
100305,Old Esquimalt Rd at Aldebury St,48.43291,-123.39924,0,100305
100307,Esquimalt Rd at Head St,48.43041,-123.40112,0,100307
100308,Old Esquimalt Rd at Aldebury St,48.43302,-123.39915,0,100308
100309,Cook St at Hillside Ave,48.44008,-123.35195,0,100309
100310,Craigflower Rd at Alderman Rd,48.43869,-123.39097,0,100310
100311,Hillside Ave at Cook St,48.44035,-123.35255,0,100311
100312,Oak Bay Ave at Fort St,48.42648,-123.33599,0,100312
100313,Fairfield Rd at St Charles St,48.41217,-123.33685,0,100313
100314,Lyall St at MacAulay St,48.42671,-123.40397,0,100314
100315,Quadra St at Topaz Ave,48.44287,-123.36007,0,100315
100317,Oak Bay Ave at Fort St,48.42656,-123.33629,0,100317
100318,Craigflower Rd at Alderman Rd,48.43906,-123.39163,0,100318
100319,Jutland Rd at Burnside Rd E,48.44366,-123.37487,0,100319
100320,Fort St at Oak Bay Ave,48.42703,-123.33579,0,100320
100321,Begbie St at Vining St,48.42909,-123.33661,0,100321
100322,Hillside Ave at Cook St,48.44041,-123.35121,0,100322
100323,Burnside Rd E at Jutland Rd,48.44387,-123.37335,0,100323
100324,Lyall St at MacAulay St,48.42693,-123.40482,0,100324
100325,Gorge Rd E at Washington Ave,48.44315,-123.38171,0,100325
100326,Gorge Rd E at Washington Ave,48.44303,-123.38206,0,100326
100327,Esquimalt Rd at MacAulay St,48.42906,-123.40406,0,100327
100328,Finlayson St at Burnside Rd E,48.44424,-123.37337,0,100328
100329,Cook St at Hillside Ave,48.44067,-123.35138,0,100329
100330,Begbie St at Vining St,48.42945,-123.336,0,100330
100332,Ross St at St Charles St,48.41095,-123.33596,0,100332
100333,Quadra St at Summit Ave,48.44365,-123.3605,0,100333
100335,Ross St at St Charles St,48.4108,-123.33587,0,100335
100336,Hillside Ave at Higgins St,48.44083,-123.34973,0,100336
100337,Hillside Ave at Higgins St,48.44084,-123.34878,0,100337
100338,Craigflower Rd at Dominion Rd,48.43955,-123.39348,0,100338
100339,Finlayson St at Douglas St,48.44488,-123.37165,0,100339
100340,Fairfield Rd at Lillian Rd,48.41314,-123.33429,0,100340
100342,Old Esquimalt Rd at Head St,48.43294,-123.40244,0,100342
100343,Finlayson St at Douglas St,48.44507,-123.36984,0,100343
100344,Quadra St at Summit Ave,48.44425,-123.36046,0,100344
100345,Fairfield Rd at Lillian Rd,48.41307,-123.33412,0,100345
100346,Burnside Rd E at Finlayson St,48.44501,-123.37541,0,100346
100347,Douglas St at Finlayson St,48.44449,-123.37065,0,100347
100348,Esquimalt Rd at Lampson St East Side,48.42945,-123.40557,0,100348
100349,Carey Rd at Ravine Way - Uptown,48.45566,-123.37702,0,100349
100351,Fort St at Fern St,48.4281,-123.33405,0,100351
100353,Lyall St at Lampson St,48.4271,-123.40698,0,100353
100354,Cook St at Vista Hts,48.44197,-123.35009,0,100354
100355,Legislature Exch Bay B,48.41882,-123.36897,0,100355
100356,Cook St at Higgins St,48.44195,-123.34986,0,100356
100357,Richardson St at Richmond Ave,48.41756,-123.33183,0,100357
100358,Douglas St at Finlayson St,48.4455,-123.37083,0,100358
100359,Finlayson St at Blanshard St,48.44553,-123.3677,0,100359
100360,Ross St at Wildwood Ave,48.41093,-123.33425,0,100360
100361,Oak Bay Ave at Rockland Ave,48.4264,-123.33192,0,100361
100362,Burnside Rd E at Napier Lane,48.44545,-123.37663,0,100362
